School Name,District Name (School),County Name (School)
Chatsworth Charter High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Chatsworth Park Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Chautauqua High (Continuation) (Bear Valley Unified),Bear Valley Unified,San Bernardino
Chavez (Cesar) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Chavez Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Chavez Elementary (San Diego Unified),San Diego Unified,San Diego
Chawanakee Academy (Chawanakee Unified),Chawanakee Unified,Madera
Chemawa Middle (Riverside Unified),Riverside Unified,Riverside
Chemehuevi Valley Elementary (Needles Unified),Needles Unified,San Bernardino
Cheremoya Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cherokee Point Elementary (San Diego Unified),San Diego Unified,San Diego
Cherry Avenue Middle (Tulare City),Tulare City,Tulare
Cherry Chase Elementary (Sunnyvale),Sunnyvale,Santa Clara
Cherryland Elementary (Hayward Unified),Hayward Unified,Alameda
Cherrylee Elementary (El Monte City),El Monte City,Los Angeles
Cherrywood Elementary (Berryessa Union Elementary),Berryessa Union Elementary,Santa Clara
Chesnut High (Continuation) (Coalinga-Huron Unified),Coalinga-Huron Unified,Fresno
Chester Elementary (Plumas Unified),Plumas Unified,Plumas
Chester Junior/Senior High (Plumas Unified),Plumas Unified,Plumas
Chester W. Morrison Elementary (Menifee Union Elementary),Menifee Union Elementary,Riverside
Chester W. Nimitz Elementary (Cupertino Union),Cupertino Union,Santa Clara
Chester W. Nimitz Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Chesterton Elementary (San Diego Unified),San Diego Unified,San Diego
Chet F. Harritt Elementary (Santee),Santee,San Diego
Cheviot Hills Continuation (Los Angeles Unified),Los Angeles Unified,Los Angeles
Chicago Park Community Charter (Chicago Park Elementary),Chicago Park Elementary,Nevada
Chicago Park Elementary (Chicago Park Elementary),Chicago Park Elementary,Nevada
Chico Country Day (Chico Unified),Chico Unified,Butte
Chico High (Chico Unified),Chico Unified,Butte
Chico Junior High (Chico Unified),Chico Unified,Butte
Children of Promise Preparatory Academy (Inglewood Unified),Inglewood Unified,Los Angeles
Children's Community Charter (Paradise Unified),Paradise Unified,Butte
Children's Hospital of Central California (Golden Valley Unified),Golden Valley Unified,Madera
CHIME Institute's Schwarzenegger Community (Los Angeles Unified),Los Angeles Unified,Los Angeles
Chin (John Yehall) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Chinese Camp Elementary (Jamestown Elementary),Jamestown Elementary,Tuolumne
Chinese Education Center (San Francisco Unified),San Francisco Unified,San Francisco
Chinese Immersion School at DeAvila (San Francisco Unified),San Francisco Unified,San Francisco
Chino High (Chino Valley Unified),Chino Valley Unified,San Bernardino
Chino Hills High (Chino Valley Unified),Chino Valley Unified,San Bernardino
Chino Valley Learning Academy (Chino Valley Unified),Chino Valley Unified,San Bernardino
Chipman Junior High (Bakersfield City),Bakersfield City,Kern
Chollas/Mead Elementary (San Diego Unified),San Diego Unified,San Diego
Chowchilla Union High (Chowchilla Union High),Chowchilla Union High,Madera
Christa McAuliffe Elementary (Oceanside Unified),Oceanside Unified,San Diego
Christa McAuliffe Elementary (Panama-Buena Vista Union),Panama-Buena Vista Union,Kern
Christa McAuliffe Elementary (Cupertino Union),Cupertino Union,Santa Clara
Christa McAuliffe Elementary (Oxnard),Oxnard,Ventura
Christa McAuliffe Middle (Lodi Unified),Lodi Unified,San Joaquin
Christian Sorensen Elementary (Whittier City Elementary),Whittier City Elementary,Los Angeles
Christine Sipherd Elementary (Empire Union Elementary),Empire Union Elementary,Stanislaus
Christopher Columbus Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Christopher Dena Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Christopher Elementary (Oak Grove Elementary),Oak Grove Elementary,Santa Clara
Christopher High (Gilroy Unified),Gilroy Unified,Santa Clara
Chrysalis Charter (Shasta County Office of Education),Shasta County Office of Education,Shasta
Chualar Elementary (Chualar Union),Chualar Union,Monterey
Chula Vista Hills Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Chula Vista Learning Community Charter (Chula Vista Elementary),Chula Vista Elementary,San Diego
Chula Vista Middle (Sweetwater Union High),Sweetwater Union High,San Diego
Chula Vista Senior High (Sweetwater Union High),Sweetwater Union High,San Diego
Cielo Vista Charter (Palm Springs Unified),Palm Springs Unified,Riverside
Cielo Vista Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
Cienega Elementary (Cienega Union Elementary),Cienega Union Elementary,San Benito
Cienega Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cimarron Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cimarron Elementary (Palmdale Elementary),Palmdale Elementary,Los Angeles
Cinnabar Charter (Cinnabar Elementary),Cinnabar Elementary,Sonoma
Cinnabar Elementary (Cinnabar Elementary),Cinnabar Elementary,Sonoma
Cinnamon Elementary (Lemoore Union Elementary),Lemoore Union Elementary,Kings
Cipriani Elementary (Belmont-Redwood Shores Elementary),Belmont-Redwood Shores Elementary,San Mateo
Circle of Independent Learning (Fremont Unified),Fremont Unified,Alameda
Circle View Elementary (Ocean View),Ocean View,Orange
CIS Academy (Pasadena Unified),Pasadena Unified,Los Angeles
Citizens of the World 2 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Citizens of the World 3 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Citizens of the World Charter Hollywood (Los Angeles Unified),Los Angeles Unified,Los Angeles
Citrus Avenue Elementary (Chico Unified),Chico Unified,Butte
Citrus Elementary (Upland Unified),Upland Unified,San Bernardino
Citrus Elementary (Fontana Unified),Fontana Unified,San Bernardino
Citrus Glen Elementary (Ventura Unified),Ventura Unified,Ventura
Citrus High (Porterville Unified),Porterville Unified,Tulare
Citrus High (Continuation) (Fontana Unified),Fontana Unified,San Bernardino
Citrus Hill High (Val Verde Unified),Val Verde Unified,Riverside
Citrus Hills Intermediate (Corona-Norco Unified),Corona-Norco Unified,Riverside
Citrus Middle (Kings Canyon Joint Unified),Kings Canyon Joint Unified,Fresno
Citrus South Tule Elementary (Citrus South Tule Elementary),Citrus South Tule Elementary,Tulare
Citrus Valley High (Redlands Unified),Redlands Unified,San Bernardino
City Arts and Tech High (San Francisco Unified),San Francisco Unified,San Francisco
City Charter Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
City Heights Preparatory Charter (San Diego Unified),San Diego Unified,San Diego
City High (Los Angeles Unified),Los Angeles Unified,Los Angeles
City Honors College Preparatory Academy (Inglewood Unified),Inglewood Unified,Los Angeles
City Language Immersion Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
City of Angels (Los Angeles Unified),Los Angeles Unified,Los Angeles
City Terrace Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Civicorps Corpsmember Academy (Oakland Unified),Oakland Unified,Alameda
Clairemont High (San Diego Unified),San Diego Unified,San Diego
Clairmont Elementary (Lodi Unified),Lodi Unified,San Joaquin
Clara Barton Elementary (Corona-Norco Unified),Corona-Norco Unified,Riverside
Clara J. King Elementary (Cypress Elementary),Cypress Elementary,Orange
Claremont High (Claremont Unified),Claremont Unified,Los Angeles
Claremont Middle (Oakland Unified),Oakland Unified,Alameda
Clarence Lobo Elementary (Capistrano Unified),Capistrano Unified,Orange
Clarence Ruth Elementary (Lompoc Unified),Lompoc Unified,Santa Barbara
Clarendon Alternative Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Clark Intermediate (Clovis Unified),Clovis Unified,Fresno
Clark Middle (San Diego Unified),San Diego Unified,San Diego
Clarksburg Middle (River Delta Joint Unified),River Delta Joint Unified,Sacramento
Classical Academy (Escondido Union),Escondido Union,San Diego
Classical Academy High (Escondido Union High),Escondido Union High,San Diego
Claudia Landeen (Lincoln Unified),Lincoln Unified,San Joaquin
Clay Elementary (Clay Joint Elementary),Clay Joint Elementary,Fresno
Clay Elementary (San Diego Unified),San Diego Unified,San Diego
"Clayton A. Record, Jr., Elementary (San Jacinto Unified)",San Jacinto Unified,Riverside
Clayton Valley Charter High (Contra Costa County Office of Education),Contra Costa County Office of Education,Contra Costa
Clear Creek Elementary (Clear Creek Elementary),Clear Creek Elementary,Nevada
Clear Lake High (Lakeport Unified),Lakeport Unified,Lake
Clear Passage Educational Center (Long Beach Unified),Long Beach Unified,Los Angeles
Clear View (Chula Vista Elementary),Chula Vista Elementary,San Diego
Clearlake Creativity (Lake County Office of Education),Lake County Office of Education,Lake
Clement Middle (Redlands Unified),Redlands Unified,San Bernardino
Clemente Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cleminson Elementary (El Monte City),El Monte City,Los Angeles
Cleo Gordon Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Cleveland Elementary (Santa Barbara Unified),Santa Barbara Unified,Santa Barbara
Cleveland Elementary (Pasadena Unified),Pasadena Unified,Los Angeles
Cleveland Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Cleveland Elementary (Oakland Unified),Oakland Unified,Alameda
Cleveland Elementary (Long Beach Unified),Long Beach Unified,Los Angeles
Cleveland Elementary (Stockton Unified),Stockton Unified,San Joaquin
Clifford D. Murray Elementary (Azusa Unified),Azusa Unified,Los Angeles
Clifford Elementary (Redwood City Elementary),Redwood City Elementary,San Mateo
Clifford Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Clifton Middle (Monrovia Unified),Monrovia Unified,Los Angeles
Clinton Elementary (Garden Grove Unified),Garden Grove Unified,Orange
"Clinton, William Jefferson (Compton Unified)",Compton Unified,Los Angeles
Clover Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Clover Flat Elementary (Mountain Empire Unified),Mountain Empire Unified,San Diego
Clover Valley High (Continuation) (Upper Lake Union High),Upper Lake Union High,Lake
Cloverdale Elementary (Moreno Valley Unified),Moreno Valley Unified,Riverside
Cloverdale High (Cloverdale Unified),Cloverdale Unified,Sonoma
Cloverland Elementary (Oakdale Joint Unified),Oakdale Joint Unified,Stanislaus
Cloverly Elementary (Temple City Unified),Temple City Unified,Los Angeles
Clovis Community Day Elementary (Clovis Unified),Clovis Unified,Fresno
Clovis Community Day Secondary (Clovis Unified),Clovis Unified,Fresno
Clovis East High (Clovis Unified),Clovis Unified,Fresno
Clovis Elementary (Clovis Unified),Clovis Unified,Fresno
Clovis High (Clovis Unified),Clovis Unified,Fresno
Clovis North High (Clovis Unified),Clovis Unified,Fresno
Clovis Online Charter (Clovis Unified),Clovis Unified,Fresno
Clovis West High (Clovis Unified),Clovis Unified,Fresno
Clyde Arbuckle Elementary (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
Clyde L. Fischer Middle (Alum Rock Union Elementary),Alum Rock Union Elementary,Santa Clara
Clyde W. Needham Elementary (Lodi Unified),Lodi Unified,San Joaquin
Coachella Valley High (Coachella Valley Unified),Coachella Valley Unified,Riverside
Coalinga High (Coalinga-Huron Unified),Coalinga-Huron Unified,Fresno
Coalinga Middle (Coalinga-Huron Unified),Coalinga-Huron Unified,Fresno
Coarsegold Elementary (Yosemite Unified),Yosemite Unified,Madera
Coast High (Huntington Beach Union High),Huntington Beach Union High,Orange
Coast Union High (Coast Unified),Coast Unified,San Luis Obispo
Coastal Academy (Oceanside Unified),Oceanside Unified,San Diego
Coastal Grove Charter (Arcata Elementary),Arcata Elementary,Humboldt
Cobalt Institute of Math and Science Academy (Victor Valley Union High),Victor Valley Union High,San Bernardino
Cobb (William L.) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Cobb Mountain Elementary (Middletown Unified),Middletown Unified,Lake
Cobblestone Elementary (Plumas Lake Elementary),Plumas Lake Elementary,Yuba
Cobblestone Elementary (Rocklin Unified),Rocklin Unified,Placer
Coeur D'Alene Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Coffee Creek Elementary (Coffee Creek Elementary),Coffee Creek Elementary,Trinity
Cogswell Elementary (Mountain View Elementary),Mountain View Elementary,Los Angeles
Cohasset Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Col. J. K. Tuffree Middle (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,Orange
Cold Spring Elementary (Cold Spring Elementary),Cold Spring Elementary,Santa Barbara
Cold Springs High (Summerville Union High),Summerville Union High,Tuolumne
Cold Stream Alternative (Tahoe-Truckee Unified),Tahoe-Truckee Unified,Placer
Coldwater Canyon Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cole Canyon Elementary (Murrieta Valley Unified),Murrieta Valley Unified,Riverside
Cole Elementary (Clovis Unified),Clovis Unified,Fresno
Cole Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Coleman Elementary (San Rafael City Elementary),San Rafael City Elementary,Marin
Coleman F. Brown Elementary (Sylvan Union Elementary),Sylvan Union Elementary,Stanislaus
Coleman Tech Charter High (San Diego Unified),San Diego Unified,San Diego
Coleville High (Eastern Sierra Unified),Eastern Sierra Unified,Mono
Colfax Charter Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Colfax Elementary (Colfax Elementary),Colfax Elementary,Placer
Colfax High (Placer Union High),Placer Union High,Placer
Colina Middle (Conejo Valley Unified),Conejo Valley Unified,Ventura
Coliseum College Prep Academy (Oakland Unified),Oakland Unified,Alameda
Coliseum Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
College Bridge Academy (Inyo County Office of Education),Inyo County Office of Education,Inyo
College Connection Academy (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
College Elementary (College Elementary),College Elementary,Santa Barbara
College Heights Elementary (Bakersfield City),Bakersfield City,Kern
College Park Elementary (Newport-Mesa Unified),Newport-Mesa Unified,Orange
College Park Elementary (Irvine Unified),Irvine Unified,Orange
College Park Elementary (San Mateo-Foster City),San Mateo-Foster City,San Mateo
College Park High (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
College Prep High (Hemet Unified),Hemet Unified,Riverside
College Preparatory Middle (Mountain Empire Unified),Mountain Empire Unified,San Diego
College View (Glendale Unified),Glendale Unified,Los Angeles
College View Elementary (Ocean View),Ocean View,Orange
Collegeville Elementary (Escalon Unified),Escalon Unified,San Joaquin
Collegewood Elementary (Walnut Valley Unified),Walnut Valley Unified,Los Angeles
Collegiate Charter High School of Los Angeles (Los Angeles Unified),Los Angeles Unified,Los Angeles
Collett Elementary (Alvord Unified),Alvord Unified,Riverside
Collins Elementary (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Colonel Howard Nichols Elementary (Bakersfield City),Bakersfield City,Kern
Colonel Joseph C. Rodriguez PREP Academy (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Colonel Mitchell Paige Middle (Desert Sands Unified),Desert Sands Unified,Riverside
Colonial Acres Elementary (San Lorenzo Unified),San Lorenzo Unified,Alameda
Colonial Heights (Lincoln Unified),Lincoln Unified,San Joaquin
Colony Basic Skills Alternative High (Hilmar Unified),Hilmar Unified,Merced
Colony High (Chaffey Joint Union High),Chaffey Joint Union High,San Bernardino
Colony Oak Elementary (Ripon Unified),Ripon Unified,San Joaquin
Colton High (Colton Joint Unified),Colton Joint Unified,San Bernardino
Colton Middle (Colton Joint Unified),Colton Joint Unified,San Bernardino
Columbia Academy (Corning Union Elementary),Corning Union Elementary,Tehama
Columbia Elementary (El Monte City),El Monte City,Los Angeles
Columbia Elementary (Fresno Unified),Fresno Unified,Fresno
Columbia Elementary (Eastside Union Elementary),Eastside Union Elementary,Los Angeles
Columbia Elementary (Val Verde Unified),Val Verde Unified,Riverside
Columbia Elementary (Columbia Union),Columbia Union,Tuolumne
Columbia Elementary (Fruitvale Elementary),Fruitvale Elementary,Kern
Columbia Elementary (Columbia Elementary),Columbia Elementary,Shasta
"Columbia International Science, Math & Technology Magnet (Adelanto Elementary)",Adelanto Elementary,San Bernardino
Columbia Middle (Sunnyvale),Sunnyvale,Santa Clara
Columbia-East Valley 6-8 Community Day (Columbia Elementary),Columbia Elementary,Shasta
Columbia-East Valley K-6 Community Day (Columbia Elementary),Columbia Elementary,Shasta
Columbine Elementary (Columbine Elementary),Columbine Elementary,Tulare
Columbus Avenue (Los Angeles Unified),Los Angeles Unified,Los Angeles
Columbus Continuation (Downey Unified),Downey Unified,Los Angeles
Columbus Elementary (Glendale Unified),Glendale Unified,Los Angeles
Columbus Tustin Middle (Tustin Unified),Tustin Unified,Orange
Colusa Alternative High (Continuation) (Colusa Unified),Colusa Unified,Colusa
Colusa Alternative Home (Colusa Unified),Colusa Unified,Colusa
Colusa County Community (Colusa County Office of Education),Colusa County Office of Education,Colusa
Colusa County Special Education (Colusa County Office of Education),Colusa County Office of Education,Colusa
Colusa High (Colusa Unified),Colusa Unified,Colusa
Come Back Kids (Riverside County Office of Education),Riverside County Office of Education,Riverside
Commodore Stockton Skills (Stockton Unified),Stockton Unified,San Joaquin
Commonwealth Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Commonwealth Elementary (Fullerton Elementary),Fullerton Elementary,Orange
Communication and Technology at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles Unified,Los Angeles
Community Career Academy (Continuation) (San Jose Unified),San Jose Unified,Santa Clara
Community Collaborative Charter (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Community Day (Sanger Unified),Sanger Unified,Fresno
Community Day (Fremont Union High),Fremont Union High,Santa Clara
Community Day (South San Francisco Unified),South San Francisco Unified,San Mateo
Community Day (Benicia Unified),Benicia Unified,Solano
Community Day (Claremont Unified),Claremont Unified,Los Angeles
Community Day (Oakland Unified),Oakland Unified,Alameda
Community Day Intermediate and High (Santa Ana Unified),Santa Ana Unified,Orange
Community Day School III (Bishop Unified),Bishop Unified,Inyo
Community Day/Alternative Education/Special Education (Anaheim Union High),Anaheim Union High,Orange
Community High (Moorpark Unified),Moorpark Unified,Ventura
Community High (Continuation) (Pacific Grove Unified),Pacific Grove Unified,Monterey
Community Magnet Charter Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Community Montessori Charter (Dehesa Elementary),Dehesa Elementary,San Diego
Community Outreach Academy (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Community Preparatory Academy (Los Angeles Unified),Los Angeles Unified,Los Angeles
Community Roots Academy (Capistrano Unified),Capistrano Unified,Orange
Community School for Creative Education (Alameda County Office of Education),Alameda County Office of Education,Alameda
Community School/Independent Alternative Education (San Bernardino County Office of Education),San Bernardino County Office of Education,San Bernardino
Community United Elementary (Oakland Unified),Oakland Unified,Alameda
Competitive Edge Charter Academy (CECA) (Yucaipa-Calimesa Joint Unified),Yucaipa-Calimesa Joint Unified,San Bernardino
Comptche Elementary (Mendocino Unified),Mendocino Unified,Mendocino
Compton Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Compton Community Day High (Compton Unified),Compton Unified,Los Angeles
Compton Community Day Middle (Compton Unified),Compton Unified,Los Angeles
Compton High (Compton Unified),Compton Unified,Los Angeles
Compton Junior High (Bakersfield City),Bakersfield City,Kern
Concord High (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
Concordia Elementary (Capistrano Unified),Capistrano Unified,Orange
Concow Elementary (Golden Feather Union Elementary),Golden Feather Union Elementary,Butte
Condit Elementary (Claremont Unified),Claremont Unified,Los Angeles
Condor Elementary (Morongo Unified),Morongo Unified,San Bernardino
Condor High (Oxnard Union High),Oxnard Union High,Ventura
Conejo Elementary (Conejo Valley Unified),Conejo Valley Unified,Ventura
Conejo Middle (Laton Joint Unified),Laton Joint Unified,Fresno
Conejo Valley High (Continuation) (Conejo Valley Unified),Conejo Valley Unified,Ventura
Congressman Jerry Lewis Elementary (Silver Valley Unified),Silver Valley Unified,San Bernardino
Conley Elementary (Taft City),Taft City,Kern
Connect Community Charter (Redwood City Elementary),Redwood City Elementary,San Mateo
Connecting Waters Charter (Waterford Unified),Waterford Unified,Stanislaus
Connections Visual and Performing Arts Academy (Summerville Union High),Summerville Union High,Tuolumne
Conservation Corps of Long Beach Gateway Cities Charter (Glenn County Office of Education),Glenn County Office of Education,Glenn
Conservatory of Vocal/Instrumental Arts (Oakland Unified),Oakland Unified,Alameda
Conservatory of Vocal/Instrumental Arts High (Oakland Unified),Oakland Unified,Alameda
Contreras Learning Center-Academic Leadership Community (Los Angeles Unified),Los Angeles Unified,Los Angeles
Contreras Learning Center-Los Angeles School of Global Studies (Los Angeles Unified),Los Angeles Unified,Los Angeles
Contreras Learning Center-School of Social Justice (Los Angeles Unified),Los Angeles Unified,Los Angeles
Conway Elementary (Escondido Union),Escondido Union,San Diego
Conyer Elementary (Visalia Unified),Visalia Unified,Tulare
Cook (Hazel Goes) Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Cooley Ranch Elementary (Colton Joint Unified),Colton Joint Unified,San Bernardino
Coolidge Elementary (San Gabriel Unified),San Gabriel Unified,Los Angeles
Cooper Elementary (Vacaville Unified),Vacaville Unified,Solano
Cooper Middle (Fresno Unified),Fresno Unified,Fresno
Cope Middle (Redlands Unified),Redlands Unified,San Bernardino
Copper Hills Elementary (Clovis Unified),Clovis Unified,Fresno
Copperopolis Elementary (Mark Twain Union Elementary),Mark Twain Union Elementary,Calaveras
Coral Mountain Academy (Coachella Valley Unified),Coachella Valley Unified,Riverside
Corcoran Academy (Corcoran Joint Unified),Corcoran Joint Unified,Kings
Corcoran High (Corcoran Joint Unified),Corcoran Joint Unified,Kings
Cordelia Hills Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Cordillera Elementary (Saddleback Valley Unified),Saddleback Valley Unified,Orange
Cordova Gardens Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Cordova High (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Cordova Meadows Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Cordova Villa Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Cordua Elementary (Marysville Joint Unified),Marysville Joint Unified,Yuba
CORE Butte Charter (Butte County Office of Education),Butte County Office of Education,Butte
Core Learning Academy at Conley-Caraballo High (New Haven Unified),New Haven Unified,Alameda
CORE Placer Charter (Placer County Office of Education),Placer County Office of Education,Placer
Cornell Elementary (Albany City Unified),Albany City Unified,Alameda
Cornerstone Academy Preparatory (Franklin-McKinley Elementary),Franklin-McKinley Elementary,Santa Clara
Cornerstone at Pedregal Elementary (Palos Verdes Peninsula Unified),Palos Verdes Peninsula Unified,Los Angeles
Corning High (Corning Union High),Corning Union High,Tehama
Corning-Center Alternative Learning (Corning Union High),Corning Union High,Tehama
Corona Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Corona Creek Elementary (Waugh Elementary),Waugh Elementary,Sonoma
Corona del Mar High (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Corona Elementary (Ontario-Montclair),Ontario-Montclair,San Bernardino
Corona Fundamental Intermediate (Corona-Norco Unified),Corona-Norco Unified,Riverside
Corona High (Corona-Norco Unified),Corona-Norco Unified,Riverside
Corona Ranch Elementary (Corona-Norco Unified),Corona-Norco Unified,Riverside
Corona Vista High (Corona-Norco Unified),Corona-Norco Unified,Riverside
Corona-Norco Alternative (Corona-Norco Unified),Corona-Norco Unified,Riverside
Coronado Elementary (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Coronado High (Coronado Unified),Coronado Unified,San Diego
Coronado High (Continuation) (West Covina Unified),West Covina Unified,Los Angeles
Coronado Middle (Coronado Unified),Coronado Unified,San Diego
Coronado Pathways Charter (Coronado Unified),Coronado Unified,San Diego
Coronado Village Elementary (Coronado Unified),Coronado Unified,San Diego
Coronita Elementary (Corona-Norco Unified),Corona-Norco Unified,Riverside
Correia Middle (San Diego Unified),San Diego Unified,San Diego
Cortada Elementary (El Monte City),El Monte City,Los Angeles
Corte Madera (Portola Valley Elementary),Portola Valley Elementary,San Mateo
Cortez Elementary (Pomona Unified),Pomona Unified,Los Angeles
Corvallis Elementary (San Lorenzo Unified),San Lorenzo Unified,Alameda
Corvallis Middle (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Costa Mesa High (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Costano Elementary (Ravenswood City Elementary),Ravenswood City Elementary,San Mateo
Costanoa Continuation High (Santa Cruz City High),Santa Cruz City High,Santa Cruz
Cosumnes Oaks High (Elk Grove Unified),Elk Grove Unified,Sacramento
Cosumnes River Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Cottage Elementary (San Juan Unified),San Juan Unified,Sacramento
Cottage Hill Elementary (Pleasant Ridge Union Elementary),Pleasant Ridge Union Elementary,Nevada
Cottonwood Canyon Elementary (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
Cottonwood Community Day (Mountain Empire Unified),Mountain Empire Unified,San Diego
Cottonwood Creek Charter (Cottonwood Union Elementary),Cottonwood Union Elementary,Shasta
Cottonwood Creek Elementary (Visalia Unified),Visalia Unified,Tulare
Cottonwood Elementary (Westside Union Elementary),Westside Union Elementary,Los Angeles
Cottonwood Elementary (Hemet Unified),Hemet Unified,Riverside
Cottonwood Elementary (Hesperia Unified),Hesperia Unified,San Bernardino
Cougar Springs Community Day (Chawanakee Unified),Chawanakee Unified,Madera
Coulterville High (Mariposa County Unified),Mariposa County Unified,Mariposa
Country Club Elementary (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Country High (Vacaville Unified),Vacaville Unified,Solano
Country Lane Elementary (Moreland),Moreland,Santa Clara
Country Springs Elementary (Chino Valley Unified),Chino Valley Unified,San Bernardino
Countryside Community Day (Tulare Joint Union High),Tulare Joint Union High,Tulare
County Collaborative Charter (Mountain Empire Unified),Mountain Empire Unified,San Diego
County Community (Amador County Office of Education),Amador County Office of Education,Amador
County Community (Mariposa County Office of Education),Mariposa County Office of Education,Mariposa
Courreges (Roch) Elementary (Fountain Valley Elementary),Fountain Valley Elementary,Orange
Cove (Larkspur-Corte Madera),Larkspur-Corte Madera,Marin
Covillaud Elementary (Marysville Joint Unified),Marysville Joint Unified,Yuba
Covina High (Covina-Valley Unified),Covina-Valley Unified,Los Angeles
Covington Elementary (Los Altos Elementary),Los Altos Elementary,Santa Clara
Cowan Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Cox (James H.) Elementary (Fountain Valley Elementary),Fountain Valley Elementary,Orange
Cox Academy (Alameda County Office of Education),Alameda County Office of Education,Alameda
Cox Bar Elementary (Trinity Alps Unified),Trinity Alps Unified,Trinity
Cox Elementary (Clovis Unified),Clovis Unified,Fresno
Coyle Avenue Elementary (San Juan Unified),San Juan Unified,Sacramento
Coyote Canyon Elementary (Central Elementary),Central Elementary,San Bernardino
Coyote Creek Elementary (San Ramon Valley Unified),San Ramon Valley Unified,Contra Costa
Coyote Ridge Elementary (Dry Creek Joint Elementary),Dry Creek Joint Elementary,Placer
Coyote Valley Elementary (Middletown Unified),Middletown Unified,Lake
Crafton Elementary (Redlands Unified),Redlands Unified,San Bernardino
Cragmont Elementary (Berkeley Unified),Berkeley Unified,Alameda
Craig Williams Elementary (Bellflower Unified),Bellflower Unified,Los Angeles
Cram Elementary (Redlands Unified),Redlands Unified,San Bernardino
Crawford High (San Diego Unified),San Diego Unified,San Diego
Creative Arts Charter (San Francisco Unified),San Francisco Unified,San Francisco
Creative Connections Arts Academy (Twin Rivers Unified),Twin Rivers Unified,Sacramento
"Creative, Performing, and Media Arts (San Diego Unified)",San Diego Unified,San Diego
Credence High (Lassen Union High),Lassen Union High,Lassen
Credo High (Cotati-Rohnert Park Unified),Cotati-Rohnert Park Unified,Sonoma
Creek View Elementary (Mountain View Elementary),Mountain View Elementary,San Bernardino
